id,region,number,displayName,nameZh,nameEn,lat,lng,area,category,priority,routeIds,bestTime,budgetLevel,shortDescription,googleMapsQuery,coordinatesConfidence
bkk-food-11,bangkok,11,On Lok Yun 老咖啡早餐 On Lok Yun,On Lok Yun 老咖啡早餐,On Lok Yun,13.7469,100.4996,老城 / Wang Burapha,早餐 / 老咖啡店,optional,bkk-route-a,早餐 / 上午,低中,老城复古早餐点，可作为寺庙日早午餐备选。,On Lok Yun Bangkok,area
bkk-food-12,bangkok,12,唐人街街头小吃带 Yaowarat street food zone,唐人街街头小吃带,Yaowarat street food zone,13.7394,100.51,唐人街,街头小吃 / 夜市,core,bkk-route-c,晚上,低中,沿 Yaowarat 分摊尝试比锁死单店更适合情侣。,Yaowarat Road street food Bangkok,area
bkk-food-13,bangkok,13,Banthat Thong 美食街 Banthat Thong food street,Banthat Thong 美食街,Banthat Thong food street,13.7405,100.5253,Chula / Siam,美食街 / 夜宵,core,bkk-route-b,晚上,低中,Siam 商圈晚餐/夜宵更灵活的区域选择。,Banthat Thong Road food Bangkok,area
hkt-food-01,phuket,1,One Chun 普吉本地菜 One Chun Cafe & Restaurant,One Chun 普吉本地菜,One Chun Cafe & Restaurant,7.8848,98.3894,Phuket Old Town,普吉本地菜 / Bib Gourmand,core,hkt-route-a,午餐 / 晚餐,中,普吉老街核心本地菜候选，适合和老街同一天。,One Chun Cafe Restaurant Phuket,area
hkt-food-02,phuket,2,Raya 老宅本地菜 Raya Restaurant Phuket,Raya 老宅本地菜,Raya Restaurant Phuket,7.8848,98.391,Phuket Old Town,普吉本地菜 / 老宅,optional,hkt-route-a,午餐 / 晚餐,中高,经典老宅普吉菜，适合更正式本地菜体验。,Raya Restaurant Phuket,area
hkt-food-03,phuket,3,Tu Kab Khao 普吉菜 Tu Kab Khao,Tu Kab Khao 普吉菜,Tu Kab Khao,7.885,98.389,Phuket Old Town,普吉本地菜,core,hkt-route-a,午餐 / 晚餐,中,老街区域方便的普吉菜选择，环境适合情侣。,Tu Kab Khao Phuket,area
hkt-food-04,phuket,4,Mee Ton Poe 福建面 Mee Ton Poe,Mee Ton Poe 福建面,Mee Ton Poe,7.8821,98.3927,Phuket Old Town,福建面 / 快餐,optional,hkt-route-a,午餐,低中,普吉老街小吃候选，适合轻量午餐。,Mee Ton Poe Phuket,area
hkt-food-05,phuket,5,Torry's Ice Cream Torry's Ice Cream,Torry's Ice Cream,Torry's Ice Cream,7.8848,98.3897,Soi Romanee,甜品 / 冰淇淋,core,hkt-route-a,下午,低中,Soi Romanee 拍照和休息顺路甜品。,Torry's Ice Cream Phuket,area
hkt-food-06,phuket,6,Dibuk Restaurant Dibuk Restaurant,Dibuk Restaurant,Dibuk Restaurant,7.8858,98.3879,Phuket Old Town,老街餐厅 / Thai-French,optional,hkt-route-a,晚餐,中高,想要比夜市更安静的老街晚餐时可考虑。,Dibuk Restaurant Phuket,area
hkt-food-07,phuket,7,Rawai 海鲜市场 Rawai Seafood Market,Rawai 海鲜市场,Rawai Seafood Market,7.775,98.329,Rawai,海鲜 / 晚餐,core,hkt-route-c,傍晚 / 晚餐,中,南部海岸线 + 神仙半岛之后的晚餐核心。,Rawai Seafood Market Phuket,exact-ish
hkt-food-08,phuket,8,Mor Mu Dong 本地海鲜 Mor Mu Dong,Mor Mu Dong 本地海鲜,Mor Mu Dong,7.8503,98.3618,Chalong / mangrove area,本地海鲜 / 泰餐,optional,hkt-route-b;hkt-route-c,午餐 / 晚餐,中,偏本地感的海鲜/泰餐候选，适合包车路线顺路。,Mor Mu Dong Phuket,area
hkt-food-09,phuket,9,Kan Eang @ Pier Kan Eang @ Pier,Kan Eang @ Pier,Kan Eang @ Pier,7.8196,98.3426,Chalong Pier,海鲜 / 海边餐厅,optional,hkt-route-b,午餐 / 晚餐,中高,查龙码头附近海鲜餐厅，适合查龙寺/南部路线。,Kan Eang at Pier Phuket,area
hkt-food-10,phuket,10,Three Monkeys 森林餐厅 Three Monkeys Restaurant,Three Monkeys 森林餐厅,Three Monkeys Restaurant,7.892,98.3508,Phuket Town hillside,景观餐厅 / 泰餐,optional,hkt-route-e,下午 / 晚餐,中高,适合想要环境和照片的景观餐厅。,Three Monkeys Restaurant Phuket,area
hkt-food-11,phuket,11,Tunk Ka Cafe 山顶餐厅 Tunk Ka Cafe,Tunk Ka Cafe 山顶餐厅,Tunk Ka Cafe,7.8945,98.378,Khao Rang,观景餐厅 / 泰餐,optional,hkt-route-e,傍晚 / 晚餐,中,普吉镇附近观景晚餐候选。,Tunk Ka Cafe Phuket,area
hkt-food-12,phuket,12,Lard Yai 夜市小吃 Lard Yai Sunday Walking Street food,Lard Yai 夜市小吃,Lard Yai Sunday Walking Street food,7.8845,98.388,Phuket Old Town,夜市 / 小吃,core,hkt-route-a,周日晚上,低中,如果 8/16 在普吉，正好可以安排周日夜市。,Lard Yai Sunday Walking Street Phuket,exact-ish
hkt-food-13,phuket,13,Central Phuket 雨天吃饭 Central Phuket dining,Central Phuket 雨天吃饭,Central Phuket dining,7.8915,98.3682,Central Phuket,商场 / 雨天餐饮,optional,hkt-route-e,雨天 / 午餐,中,雨天、补给、简单吃饭的室内备选。,Central Phuket restaurants,area
yya-food-01,koh-yao-yai,1,Santhiya 酒店内餐厅 Santhiya in-resort dining,Santhiya 酒店内餐厅,Santhiya in-resort dining,7.983,98.579,Santhiya / Loh Pared Bay,酒店餐厅 / 度假晚餐,core,yya-route-a,早餐 / 日落 / 七夕晚餐,中高,四晚的安全主轴：早餐、泳池日、七夕晚餐和不想外出时的晚餐。,Santhiya Koh Yao Yai Resort restaurants,exact-ish
yya-food-02,koh-yao-yai,2,Loh Pared 海滩小店区 Loh Pared Beach local restaurants,Loh Pared 海滩小店区,Loh Pared Beach local restaurants,7.9808,98.5785,Loh Pared Beach,海滩小店 / 本地泰餐,core,yya-route-a,午餐 / 日落后晚餐,低中,Santhiya 周边最近的外出吃饭方向，适合不想每天吃酒店餐时使用。,Loh Pared Beach restaurants Koh Yao Yai,area
yya-food-03,koh-yao-yai,3,Gypsy / 海滩酒吧方向 Gypsy beach bar direction,Gypsy / 海滩酒吧方向,Gypsy beach bar direction,7.98,98.575,Loh Pared Beach,海滩酒吧 / 轻食,optional,yya-route-a,日落后,低中,Loh Pared Beach 一带的轻松海滩氛围方向，适合散步时临时选择。,Gypsy Bar Koh Yao Yai Loh Pared Beach,area
yya-food-04,koh-yao-yai,4,Prunai 本地午餐方向 Prunai local lunch area,Prunai 本地午餐方向,Prunai local lunch area,7.946,98.584,Prunai / local village,本地餐 / 包车午餐,core,yya-route-c,岛内包车半日午餐,低中,岛内轻量环线时可以让司机推荐的本地餐方向。,Prunai Koh Yao Yai restaurants,area
yya-food-05,koh-yao-yai,5,Laem Haad 北部小吃 / 饮品方向 Laem Haad north route snacks,Laem Haad 北部小吃 / 饮品方向,Laem Haad north route snacks,8.106,98.607,Laem Haad / north Koh Yao Yai,沙洲路线补给,optional,yya-route-b,Laem Haad 半日,低中,去 Laem Haad 沙洲时作为饮品/小吃补给方向。,Laem Haad Koh Yao Yai restaurants,area
yya-food-06,koh-yao-yai,6,私人船野餐 / 船餐 Private boat picnic / boat lunch,私人船野餐 / 船餐,Private boat picnic / boat lunch,8.2203,98.6741,Hong Islands / Phang Nga direction,私人船 / 出海餐,remote,yya-route-d,海况稳定的一天,中高,如果包私人船，提前确认是否包含饮水、水果、午餐或野餐。,Hong Islands private boat lunch Koh Yao Yai,direction
