Region,Name,Latitude,Longitude,Category,Priority,Route,Description
普吉岛 Phuket,查龙寺 Wat Chalong,7.846,98.337,寺庙/文化,核心,Route B,普吉最代表性寺庙之一；遮肩遮膝。
普吉岛 Phuket,普吉大佛 Big Buddha,7.8276,98.3128,地标/观景,选配,Route B,开放和上山路况需临近确认；不要为了它牺牲核心节奏。
普吉岛 Phuket,Karon Viewpoint,7.7966,98.3068,观景台,核心,Route B/C,三海滩视角，短停拍照性价比高。
普吉岛 Phuket,Kata Beach,7.8214,98.2993,海滩,选配,Route C,西海岸经典海滩；8月注意浪和红旗。
普吉岛 Phuket,Karon Beach,7.8423,98.2941,海滩,选配,Route C,适合散步和看海；雨季不一定适合下水。
普吉岛 Phuket,Nai Harn Beach,7.7752,98.3067,海滩,核心,Route C,南部更松弛，情侣感强；红旗不要下水。
普吉岛 Phuket,Ya Nui Beach,7.766,98.3064,海滩/拍照,核心,Route C,小海湾，适合短停拍照；看浪况。
普吉岛 Phuket,Promthep Cape 神仙半岛,7.7622,98.3051,日落/观景,核心,Route B/C,经典日落点；提前 45–60 分钟到。
普吉岛 Phuket,Rawai Seafood Market,7.775,98.329,海鲜/晚餐,核心,Route C,现买现加工；先问清每公斤价、加工费和总价。
普吉岛 Phuket,Ao Po Grand Marina,8.067,98.445,码头/转船,交通,Transfer,18 Aug 去 Santhiya 的关键码头；提前确认司机和船班。
普吉岛 Phuket,HKT Phuket International Airport,8.113,98.317,机场/交通,交通,Transfer,15 Aug 抵达、23 Aug 出发；最后一晚住附近降低风险。
普吉岛 Phuket,Nai Yang Beach / Dewa area,8.0915,98.3007,机场缓冲/海滩,交通,Final night,22–23 Aug 机场缓冲夜区域；适合散步、早睡、返程。
普吉岛 Phuket,Mai Khao Plane Spotting Beach,8.154,98.298,飞机海滩,选配,Route E,住机场附近时顺路；看风向，不保证低空降落。
普吉岛 Phuket,Phuket Elephant Sanctuary,8.036,98.39,动物保护/雨天备选,选配,Route E,优先 no riding、观察/教育型项目，避免骑象/表演。
普吉岛 Phuket,Central Phuket,7.8915,98.3682,商场/雨天,选配,Route E,雨天、补给、简单吃饭的室内备选。
普吉岛 Phuket,Chillva Market,7.9174,98.3688,夜市,选配,Route E,普吉夜市备选，适合轻松吃喝。
普吉岛 Phuket,Naka Weekend Market,7.8806,98.366,夜市/市场,选配,Route E,周末市场备选；根据时间和体力决定。
普吉岛 Phuket,Patong / Bangla Road,7.8957,98.2965,夜生活,谨慎,Optional,很热闹但吵，情侣浪漫度一般；不建议作为住宿核心。
普吉岛 Phuket,Phang Nga Bay / James Bond Island direction,8.2745,98.5016,出海/远程,远程,Route D,雨季相对更稳的景观型出海；必须可取消。
普吉岛 Phuket,Phi Phi Islands / Maya Bay direction,7.6788,98.7653,出海/远程,远程,Route D,经典但船程长、人多、雨季颠簸风险更高。
普吉岛 Phuket,Racha Yai Island,7.604,98.371,出海/远程,远程,Route D,浮潜/水上项目备选；仍看海况。
普吉岛 Phuket,Coral Island / Koh Hae,7.745,98.373,出海/远程,远程,Route D,离普吉较近的出海备选；雨季仍需确认浪况。
瑶亚岛 Koh Yao Yai / Santhiya,Santhiya Koh Yao Yai Resort & Spa / Loh Pared Bay,7.983,98.579,酒店/度假核心,核心,Route A,18–22 Aug 四晚度假核心：泳池、海景、SPA、七夕晚餐和日落。
瑶亚岛 Koh Yao Yai / Santhiya,Loh Pared Beach / Bay,7.9808,98.5785,海滩/日落,核心,Route A,Santhiya 周边海湾；适合慢节奏散步和日落。
瑶亚岛 Koh Yao Yai / Santhiya,Laem Yai / Santhiya Pier area,7.98,98.573,码头/交通,交通,Transfer,Santhiya 周边码头区域；具体上下船点以酒店通知为准。
瑶亚岛 Koh Yao Yai / Santhiya,Laem Haad Sandbar,8.106,98.607,沙洲/拍照,核心,Route B,瑶亚岛代表性拍照点；看潮汐，低潮更好。
瑶亚岛 Koh Yao Yai / Santhiya,Chong Lard Pier,8.073,98.6005,码头/交通,交通,Route B/C,北部码头，可作为 Laem Haad/岛内路线参考点。
瑶亚岛 Koh Yao Yai / Santhiya,Khlong Hia Pier,8.098,98.594,码头/交通,交通,Route B/C,北部码头，具体转乘以酒店/当地司机确认。
瑶亚岛 Koh Yao Yai / Santhiya,Prunai / local village area,7.946,98.584,村落/本地生活,核心,Route C,岛内轻量环线可经过；看村落、橡胶园和本地生活。
瑶亚岛 Koh Yao Yai / Santhiya,Loh Jak Pier / sunset area,7.913,98.586,码头/日落,选配,Route C,南部/西海岸轻量路线的日落参考点。
瑶亚岛 Koh Yao Yai / Santhiya,Ao Muong / southern bay,7.895,98.602,海湾/选配,选配,Route C,南部海湾选配；不用为环全岛硬塞。
瑶亚岛 Koh Yao Yai / Santhiya,Koh Yao Noi / Manoh Pier direction,8.15,98.625,邻岛方向,选配,Optional,可作为邻岛方向参考；你们四晚主轴仍建议留在 Santhiya/瑶亚岛。
瑶亚岛 Koh Yao Yai / Santhiya,Hong Islands direction,8.2203,98.6741,私人船/远程,远程,Route D,天气稳定、可取消时才考虑私人船；不要放在离岛前一天。
瑶亚岛 Koh Yao Yai / Santhiya,Phang Nga Bay direction from Koh Yao Yai,8.2745,98.5016,私人船/远程,远程,Route D,私人船/攀牙湾方向参考点；8月以海况为准。
